Cleveland Cavaliers,Brooklyn Nets,Cleveland Cavaliers
Denver Nuggets,Atlanta Hawks,Atlanta Hawks
Detroit Pistons,Golden State Warriors,Golden State Warriors
Los Angeles Clippers,Dallas Mavericks,Dallas Mavericks
Memphis Grizzlies,Houston Rockets,Memphis Grizzlies
Milwaukee Bucks,Washington Wizards,Milwaukee Bucks
Minnesota Timberwolves,Sacramento Kings,Sacramento Kings
New Orleans Pelicans,Miami Heat,New Orleans Pelicans
Orlando Magic,Los Angeles Lakers,Orlando Magic
Phoenix Suns,Philadelphia 76ers,Phoenix Suns
Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs
Utah Jazz,Toronto Raptors,Toronto Raptors
Cleveland Cavaliers,Golden State Warriors,Cleveland Cavaliers
Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers
New York Knicks,Boston Celtics,Boston Celtics
Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder
San Antonio Spurs,Chicago Bulls,San Antonio Spurs
Brooklyn Nets,Charlotte Hornets,Brooklyn Nets
Chicago Bulls,Indiana Pacers,Chicago Bulls
Detroit Pistons,Cleveland Cavaliers,Detroit Pistons
Houston Rockets,Phoenix Suns,Houston Rockets
Los Angeles Clippers,Denver Nuggets,Denver Nuggets
Minnesota Timberwolves,Atlanta Hawks,Minnesota Timberwolves
New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans
Orlando Magic,Memphis Grizzlies,Orlando Magic
Portland Trail Blazers,Toronto Raptors,Toronto Raptors
Sacramento Kings,Philadelphia 76ers,Sacramento Kings
Washington Wizards,Milwaukee Bucks,Washington Wizards
Boston Celtics,Memphis Grizzlies,Boston Celtics
Dallas Mavericks,Houston Rockets,Houston Rockets
Los Angeles Lakers,Utah Jazz,Utah Jazz
Miami Heat,Oklahoma City Thunder,Oklahoma City Thunder
Atlanta Hawks,New York Knicks,Atlanta Hawks
Chicago Bulls,Brooklyn Nets,Chicago Bulls
Denver Nuggets,Minnesota Timberwolves,Denver Nuggets
Detroit Pistons,Milwaukee Bucks,Milwaukee Bucks
Golden State Warriors,Toronto Raptors,Golden State Warriors
New Orleans Pelicans,Los Angeles Clippers,New Orleans Pelicans
Orlando Magic,Charlotte Hornets,Charlotte Hornets
Portland Trail Blazers,Sacramento Kings,Portland Trail Blazers
San Antonio Spurs,Phoenix Suns,San Antonio Spurs
Washington Wizards,Indiana Pacers,Washington Wizards
